Text,Link
Abdominal aortic aneurysm,https://www.nhsinform.scot/illnesses-and-conditions/heart-and-blood-vessels/conditions/abdominal-aortic-aneurysm/
Acne,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/
Acute cholecystitis,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-cholecystitis/
Acute lymphoblastic leukaemia,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/
Acute lymphoblastic leukaemia: Children,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/acute-lymphoblastic-leukaemia-children/
Acute lymphoblastic leukaemia: Teenagers and young adults,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/acute-lymphoblastic-leukaemia-teenagers-and-young-adults/
Acute myeloid leukaemia,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-myeloid-leukaemia/
Acute myeloid leukaemia: Children,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/acute-myeloid-leukaemia-children/
Acute myeloid leukaemia: Teenagers and young adults,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/acute-myeloid-leukaemia-teenagers-and-young-adults/
Acute pancreatitis,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/acute-pancreatitis/
Adenomyosis,https://www.nhsinform.scot/healthy-living/womens-health/girls-and-young-women-puberty-to-around-25/periods-and-menstrual-health/adenomyosis/
Addison’s disease,https://www.nhsinform.scot/illnesses-and-conditions/glands/addisons-disease/
Alcohol-related liver disease,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/alcohol-related-liver-disease/
Allergic rhinitis,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/allergic-rhinitis/
Allergies,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/allergies/
Alzheimer’s disease,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/alzheimers-disease/
Anal cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/anal-cancer/
Anaphylaxis,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/anaphylaxis/
